split,procedure,event_frame,observation_start_frame,observation_end_frame,event_step,event_technique,all_targets,minimum_prior_absence_frames,minimum_confirmation_frames,targets,all_target_count,target_count,multi_instrument
train,train03,1547,1314,1454,Incision,,"[""Bonn Forceps""]",214,5,"[""Bonn Forceps""]",1,1,False
train,train03,1827,1594,1734,Incision,,"[""Primary Knife""]",49,5,"[""Primary Knife""]",1,1,False
train,train03,1886,1652,1792,Incision,,"[""Bonn Forceps""]",46,4,"[""Bonn Forceps""]",1,1,False
train,train03,2563,2329,2469,Capsulorhexis,,"[""Cap. Cystotome""]",80,5,"[""Cap. Cystotome""]",1,1,False
train,train03,4950,4716,4857,Nucleus Breaking,Divide and Conquer,"[""Micromanipulator""]",60,5,"[""Micromanipulator""]",1,1,False
train,train03,7565,7331,7471,Idle,,"[""I/A Handpiece""]",919,4,"[""I/A Handpiece""]",1,1,False
train,train03,10862,10629,10769,Idle,,"[""Visc. Cannula""]",242,4,"[""Visc. Cannula""]",1,1,False
train,train03,11125,10892,11032,Implantation,,"[""Lens Injector""]",71,3,"[""Lens Injector""]",1,1,False
train,train03,12759,12526,12666,Idle,,"[""Rycroft Cannula""]",94,3,"[""Rycroft Cannula""]",1,1,False
train,train03,12771,12537,12678,OVD Aspiration,,"[""I/A Handpiece""]",124,5,"[""I/A Handpiece""]",1,1,False
train,train03,13786,13553,13693,OVD Aspiration,,"[""Micromanipulator""]",50,5,"[""Micromanipulator""]",1,1,False
train,train03,16617,16384,16524,Wound Hydratation,,"[""Rycroft Cannula""]",63,5,"[""Rycroft Cannula""]",1,1,False
train,train04,631,397,537,Incision,,"[""Bonn Forceps"", ""Secondary Knife""]",108,5,"[""Bonn Forceps"", ""Secondary Knife""]",2,2,True
train,train04,923,689,829,Incision,,"[""Visc. Cannula""]",50,3,"[""Visc. Cannula""]",1,1,False
train,train04,2277,2043,2183,Hydrodissetion,,"[""Hydro. Cannula""]",265,5,"[""Hydro. Cannula""]",1,1,False
train,train04,2930,2697,2837,Nucleus Breaking,Stop and Chop,"[""Hydro. Cannula""]",52,4,"[""Hydro. Cannula""]",1,1,False
train,train04,3158,2925,3065,Nucleus Breaking,Stop and Chop,"[""Micromanipulator""]",357,3,"[""Micromanipulator""]",1,1,False
train,train04,3462,3228,3368,Nucleus Breaking,Stop and Chop,"[""Micromanipulator""]",49,4,"[""Micromanipulator""]",1,1,False
train,train04,8201,7967,8108,Viscodilatation,,"[""Visc. Cannula""]",65,3,"[""Visc. Cannula""]",1,1,False
train,train04,9018,8785,8925,Idle,,"[""Visc. Cannula""]",102,3,"[""Visc. Cannula""]",1,1,False
train,train04,9654,9421,9561,Implantation,,"[""Micromanipulator""]",452,3,"[""Micromanipulator""]",1,1,False
train,train04,10378,10144,10285,OVD Aspiration,,"[""I/A Handpiece""]",46,5,"[""I/A Handpiece""]",1,1,False
train,train04,10699,10465,10606,OVD Aspiration,,"[""Micromanipulator""]",74,3,"[""Micromanipulator""]",1,1,False
train,train04,12036,11802,11942,Wound Hydratation,,"[""Rycroft Cannula""]",45,4,"[""Rycroft Cannula""]",1,1,False
train,train04,12812,12578,12718,Wound Hydratation,,"[""Rycroft Cannula""]",54,4,"[""Rycroft Cannula""]",1,1,False
train,train05,234,1,141,Incision,,"[""Bonn Forceps"", ""Secondary Knife""]",40,3,"[""Bonn Forceps"", ""Secondary Knife""]",2,2,True
train,train05,578,345,485,Incision,,"[""Primary Knife""]",99,5,"[""Primary Knife""]",1,1,False
train,train05,806,572,713,Idle,,"[""I/A Handpiece""]",55,3,"[""I/A Handpiece""]",1,1,False
train,train05,841,608,748,Viscodilatation,,"[""Visc. Cannula""]",144,5,"[""Visc. Cannula""]",1,1,False
train,train05,1086,853,993,Capsulorhexis,,"[""Cap. Cystotome""]",186,3,"[""Cap. Cystotome""]",1,1,False
train,train05,3467,3234,3374,Nucleus Breaking,Divide and Conquer,"[""Ph. Handpiece""]",594,5,"[""Ph. Handpiece""]",1,1,False
train,train05,6870,6637,6777,Irrigation/Aspiration,,"[""I/A Handpiece""]",810,5,"[""I/A Handpiece""]",1,1,False
train,train05,9631,9397,9537,Implantation,,"[""Lens Injector""]",1650,3,"[""Lens Injector""]",1,1,False
train,train05,10045,9812,9952,Idle,,"[""Micromanipulator""]",56,3,"[""Micromanipulator""]",1,1,False
train,train05,11732,11499,11639,Wound Hydratation,,"[""Rycroft Cannula""]",235,3,"[""Rycroft Cannula""]",1,1,False
train,train06,380,147,287,Incision,,"[""Rycroft Cannula""]",65,3,"[""Rycroft Cannula""]",1,1,False
train,train06,392,158,298,Incision,,"[""Primary Knife""]",67,5,"[""Primary Knife""]",1,1,False
train,train06,643,409,549,Viscodilatation,,"[""Visc. Cannula""]",97,5,"[""Visc. Cannula""]",1,1,False
train,train06,2249,2015,2156,Idle,,"[""Ph. Handpiece""]",47,3,"[""Ph. Handpiece""]",1,1,False
train,train06,4760,4527,4667,Idle,,"[""Hydro. Cannula""]",467,5,"[""Hydro. Cannula""]",1,1,False
train,train06,5409,5175,5315,Irrigation/Aspiration,,"[""I/A Handpiece""]",926,5,"[""I/A Handpiece""]",1,1,False
train,train06,9374,9141,9281,Preparing Implant,,"[""Lens Injector""]",1605,5,"[""Lens Injector""]",1,1,False
train,train06,9398,9164,9304,Preparing Implant,,"[""Bonn Forceps""]",1609,4,"[""Bonn Forceps""]",1,1,False
train,train06,10601,10367,10507,Implantation,,"[""Lens Injector""]",44,4,"[""Lens Injector""]",1,1,False
train,train06,11307,11074,11214,Positioning,,"[""Rycroft Cannula""]",192,3,"[""Rycroft Cannula""]",1,1,False
train,train06,11547,11313,11453,OVD Aspiration,,"[""I/A Handpiece""]",161,4,"[""I/A Handpiece""]",1,1,False
train,train06,12224,11991,12131,OVD Aspiration,,"[""Rycroft Cannula""]",113,4,"[""Rycroft Cannula""]",1,1,False
train,train06,13457,13223,13363,Wound Hydratation,,"[""Rycroft Cannula""]",46,4,"[""Rycroft Cannula""]",1,1,False
train,train07,368,135,275,Incision,,"[""Secondary Knife""]",63,5,"[""Secondary Knife""]",1,1,False
train,train07,374,141,281,Incision,,"[""Bonn Forceps""]",64,3,"[""Bonn Forceps""]",1,1,False
train,train07,783,549,689,Incision,,"[""Primary Knife""]",134,5,"[""Primary Knife""]",1,1,False
train,train07,1005,771,911,Idle,,"[""Visc. Cannula""]",172,3,"[""Visc. Cannula""]",1,1,False
train,train07,2108,1875,2015,Hydrodissetion,,"[""Hydro. Cannula""]",234,5,"[""Hydro. Cannula""]",1,1,False
train,train07,3883,3650,3790,Phacoemulsification,,"[""Micromanipulator""]",209,5,"[""Micromanipulator""]",1,1,False
train,train07,5938,5705,5845,Phacoemulsification,,"[""Rycroft Cannula""]",71,4,"[""Rycroft Cannula""]",1,1,False
train,train07,7602,7369,7509,Irrigation/Aspiration,,"[""Micromanipulator""]",260,3,"[""Micromanipulator""]",1,1,False
train,train07,9126,8892,9033,Viscodilatation,,"[""Visc. Cannula""]",84,3,"[""Visc. Cannula""]",1,1,False
train,train07,11210,10977,11117,Implantation,,"[""Lens Injector""]",45,5,"[""Lens Injector""]",1,1,False
train,train07,11648,11415,11555,Implantation,,"[""Micromanipulator""]",513,3,"[""Micromanipulator""]",1,1,False
train,train07,12174,11940,12080,OVD Aspiration,,"[""I/A Handpiece""]",167,5,"[""I/A Handpiece""]",1,1,False
train,train07,12763,12530,12670,OVD Aspiration,,"[""Rycroft Cannula""]",101,3,"[""Rycroft Cannula""]",1,1,False
train,train07,17025,16792,16932,Wound Hydratation,,"[""Rycroft Cannula""]",40,5,"[""Rycroft Cannula""]",1,1,False
train,train08,316,82,222,Incision,,"[""Primary Knife""]",54,3,"[""Primary Knife""]",1,1,False
train,train08,643,409,549,Viscodilatation,,"[""Visc. Cannula""]",51,5,"[""Visc. Cannula""]",1,1,False
train,train08,1857,1623,1763,Incision,,"[""Cap. Forceps""]",98,3,"[""Cap. Forceps""]",1,1,False
train,train08,4273,4039,4179,Idle,,"[""Bonn Forceps""]",414,5,"[""Bonn Forceps""]",1,1,False
train,train08,4705,4471,4611,Idle,,"[""Rycroft Cannula""]",368,5,"[""Rycroft Cannula""]",1,1,False
train,train08,6036,5802,5942,Capsulorhexis,,"[""Cap. Cystotome""]",216,5,"[""Cap. Cystotome""]",1,1,False
train,train08,7302,7069,7209,Capsulorhexis,,"[""Hydro. Cannula""]",675,4,"[""Hydro. Cannula""]",1,1,False
train,train08,7372,7139,7279,Capsulorhexis,,"[""Cap. Forceps""]",226,5,"[""Cap. Forceps""]",1,1,False
train,train08,8469,8236,8376,Nucleus Breaking,Divide and Conquer,"[""Ph. Handpiece""]",1451,3,"[""Ph. Handpiece""]",1,1,False
train,train08,8960,8726,8866,Nucleus Breaking,Divide and Conquer,"[""Micromanipulator""]",679,3,"[""Micromanipulator""]",1,1,False
train,train08,11108,10874,11014,Nucleus Breaking,Divide and Conquer,"[""Micromanipulator""]",83,5,"[""Micromanipulator""]",1,1,False
train,train08,14458,14224,14364,Irrigation/Aspiration,,"[""I/A Handpiece""]",66,5,"[""I/A Handpiece""]",1,1,False
train,train08,17037,16804,16944,Viscodilatation,,"[""Visc. Cannula""]",43,5,"[""Visc. Cannula""]",1,1,False
train,train08,17393,17160,17300,Idle,,"[""Lens Injector""]",2398,5,"[""Lens Injector""]",1,1,False
train,train08,21018,20785,20925,Idle,,"[""Cap. Forceps""]",246,5,"[""Cap. Forceps""]",1,1,False
train,train08,21041,20808,20948,Idle,,"[""Bonn Forceps""]",250,5,"[""Bonn Forceps""]",1,1,False
train,train08,21812,21578,21718,Idle,,"[""Bonn Forceps""]",108,5,"[""Bonn Forceps""]",1,1,False
train,train08,22226,21993,22133,Idle,,"[""Bonn Forceps""]",60,5,"[""Bonn Forceps""]",1,1,False
train,train08,22658,22425,22565,Idle,,"[""Rycroft Cannula""]",106,3,"[""Rycroft Cannula""]",1,1,False
train,train08,22816,22582,22722,OVD Aspiration,,"[""I/A Handpiece""]",93,5,"[""I/A Handpiece""]",1,1,False
train,train08,23323,23090,23230,OVD Aspiration,,"[""Rycroft Cannula""]",84,4,"[""Rycroft Cannula""]",1,1,False
train,train08,24322,24088,24228,Idle,,"[""Rycroft Cannula""]",78,3,"[""Rycroft Cannula""]",1,1,False
train,train08,27041,26808,26948,Wound Hydratation,,"[""Rycroft Cannula""]",103,5,"[""Rycroft Cannula""]",1,1,False
train,train09,1273,1040,1180,Incision,,"[""Primary Knife""]",218,5,"[""Primary Knife""]",1,1,False
train,train09,1483,1250,1390,Incision,,"[""Secondary Knife""]",254,5,"[""Secondary Knife""]",1,1,False
train,train09,2704,2470,2610,Hydrodissetion,,"[""Hydro. Cannula""]",401,5,"[""Hydro. Cannula""]",1,1,False
train,train09,3696,3463,3603,Nucleus Breaking,Stop and Chop,"[""Micromanipulator""]",567,4,"[""Micromanipulator""]",1,1,False
train,train09,6651,6417,6557,Irrigation/Aspiration,,"[""I/A Handpiece""]",1139,5,"[""I/A Handpiece""]",1,1,False
train,train09,8063,7830,7970,Viscodilatation,,"[""Visc. Cannula""]",71,5,"[""Visc. Cannula""]",1,1,False
train,train09,10428,10194,10335,Implantation,,"[""Lens Injector""]",1786,5,"[""Lens Injector""]",1,1,False
train,train09,11479,11245,11386,Idle,,"[""Rycroft Cannula""]",83,3,"[""Rycroft Cannula""]",1,1,False
train,train09,11485,11251,11391,OVD Aspiration,,"[""I/A Handpiece""]",627,5,"[""I/A Handpiece""]",1,1,False
train,train09,13365,13131,13271,Wound Hydratation,,"[""Rycroft Cannula""]",60,3,"[""Rycroft Cannula""]",1,1,False
train,train09,13861,13627,13768,Wound Hydratation,,"[""Rycroft Cannula""]",76,5,"[""Rycroft Cannula""]",1,1,False
train,train09,14486,14252,14392,Wound Hydratation,,"[""Rycroft Cannula""]",51,5,"[""Rycroft Cannula""]",1,1,False
train,train10,1086,853,993,Incision,,"[""Bonn Forceps""]",117,5,"[""Bonn Forceps""]",1,1,False
train,train10,1162,929,1069,Incision,,"[""Ph. Handpiece""]",160,4,"[""Ph. Handpiece""]",1,1,False
train,train10,1763,1530,1670,Idle,,"[""Rycroft Cannula""]",134,3,"[""Rycroft Cannula""]",1,1,False
train,train10,1886,1652,1792,Viscodilatation,,"[""Visc. Cannula""]",161,5,"[""Visc. Cannula""]",1,1,False
train,train10,2452,2218,2358,Capsulorhexis,,"[""Cap. Cystotome""]",99,5,"[""Cap. Cystotome""]",1,1,False
train,train10,2948,2715,2855,Capsulorhexis,,"[""Cap. Forceps""]",113,5,"[""Cap. Forceps""]",1,1,False
train,train10,3672,3438,3578,Capsulorhexis,,"[""I/A Handpiece""]",629,4,"[""I/A Handpiece""]",1,1,False
train,train10,6800,6567,6707,Nucleus Breaking,Divide and Conquer,"[""Ph. Handpiece""]",920,3,"[""Ph. Handpiece""]",1,1,False
train,train10,6829,6596,6736,Nucleus Breaking,Divide and Conquer,"[""Micromanipulator""]",278,5,"[""Micromanipulator""]",1,1,False
train,train10,6952,6718,6858,Nucleus Breaking,Divide and Conquer,"[""I/A Handpiece""]",553,4,"[""I/A Handpiece""]",1,1,False
train,train10,14516,14283,14423,Irrigation/Aspiration,,"[""I/A Handpiece""]",1272,4,"[""I/A Handpiece""]",1,1,False
train,train10,16501,16267,16407,Irrigation/Aspiration,,"[""Rycroft Cannula""]",322,3,"[""Rycroft Cannula""]",1,1,False
train,train10,17989,17755,17895,Irrigation/Aspiration,,"[""Micromanipulator""]",178,4,"[""Micromanipulator""]",1,1,False
train,train10,19518,19285,19425,Viscodilatation,,"[""Visc. Cannula""]",369,5,"[""Visc. Cannula""]",1,1,False
train,train10,20043,19810,19950,Implantation,,"[""Lens Injector""]",2269,5,"[""Lens Injector""]",1,1,False
train,train10,20785,20551,20691,Idle,,"[""I/A Handpiece""]",247,5,"[""I/A Handpiece""]",1,1,False
train,train10,23043,22810,22950,Wound Hydratation,,"[""Rycroft Cannula""]",400,5,"[""Rycroft Cannula""]",1,1,False
train,train10,24508,24275,24415,Wound Hydratation,,"[""Rycroft Cannula""]",44,5,"[""Rycroft Cannula""]",1,1,False
train,train11,467,234,374,Incision,,"[""Bonn Forceps""]",80,5,"[""Bonn Forceps""]",1,1,False
train,train11,765,532,672,Incision,,"[""Primary Knife""]",131,5,"[""Primary Knife""]",1,1,False
train,train11,2697,2464,2604,Capsulorhexis,,"[""Cap. Forceps""]",462,5,"[""Cap. Forceps""]",1,1,False
train,train11,2872,2639,2779,Idle,,"[""Rycroft Cannula""]",72,4,"[""Rycroft Cannula""]",1,1,False
train,train11,4197,3964,4104,Nucleus Breaking,Stop and Chop,"[""Bonn Forceps""]",565,5,"[""Bonn Forceps""]",1,1,False
train,train11,6648,6415,6555,Idle,,"[""I/A Handpiece""]",1139,5,"[""I/A Handpiece""]",1,1,False
train,train11,9450,9216,9357,Viscodilatation,,"[""Visc. Cannula""]",53,5,"[""Visc. Cannula""]",1,1,False
train,train11,10349,10115,10255,Preparing Implant,,"[""Lens Injector""]",1569,4,"[""Lens Injector""]",1,1,False
train,train11,10384,10150,10290,Preparing Implant,,"[""Primary Knife""]",1625,3,"[""Primary Knife""]",1,1,False
train,train11,12088,11855,11995,OVD Aspiration,,"[""I/A Handpiece""]",79,5,"[""I/A Handpiece""]",1,1,False
train,train11,12946,12713,12853,Idle,,"[""Rycroft Cannula""]",152,3,"[""Rycroft Cannula""]",1,1,False
train,train11,13839,13606,13746,Wound Hydratation,,"[""Rycroft Cannula""]",52,4,"[""Rycroft Cannula""]",1,1,False
train,train12,462,228,368,Incision,,"[""Secondary Knife""]",79,4,"[""Secondary Knife""]",1,1,False
train,train12,467,234,374,Incision,,"[""Bonn Forceps""]",80,5,"[""Bonn Forceps""]",1,1,False
train,train12,800,567,707,Incision,,"[""Primary Knife""]",108,4,"[""Primary Knife""]",1,1,False
train,train12,818,584,724,Incision,,"[""Bonn Forceps""]",40,5,"[""Bonn Forceps""]",1,1,False
train,train12,1098,864,1004,Viscodilatation,,"[""Visc. Cannula""]",188,5,"[""Visc. Cannula""]",1,1,False
train,train12,1851,1617,1757,Implant Ejection,,"[""Cap. Forceps""]",317,5,"[""Cap. Forceps""]",1,1,False
train,train12,2113,1880,2020,Implant Ejection,,"[""Bonn Forceps""]",190,3,"[""Bonn Forceps""]",1,1,False
train,train12,2166,1932,2072,Implant Ejection,,"[""Secondary Knife""]",253,3,"[""Secondary Knife""]",1,1,False
train,train12,2516,2283,2423,Viscodilatation,,"[""Visc. Cannula""]",43,5,"[""Visc. Cannula""]",1,1,False
train,train12,2790,2557,2697,Implant Ejection,,"[""Cap. Forceps""]",64,5,"[""Cap. Forceps""]",1,1,False
train,train12,2831,2598,2738,Implant Ejection,,"[""I/A Handpiece""]",145,3,"[""I/A Handpiece""]",1,1,False
train,train12,2901,2668,2808,Implant Ejection,,"[""Suture Needle""]",87,3,"[""Suture Needle""]",1,1,False
train,train12,2919,2685,2825,Implant Ejection,,"[""Bonn Forceps""]",98,5,"[""Bonn Forceps""]",1,1,False
train,train12,3713,3479,3619,Viscodilatation,,"[""Visc. Cannula""]",69,4,"[""Visc. Cannula""]",1,1,False
train,train12,3759,3526,3666,Viscodilatation,,"[""Cap. Forceps""]",79,3,"[""Cap. Forceps""]",1,1,False
train,train12,3876,3643,3783,Capsulorhexis,,"[""Cap. Cystotome""]",664,4,"[""Cap. Cystotome""]",1,1,False
train,train12,4781,4547,4687,Capsulorhexis,,"[""Bonn Forceps""]",253,3,"[""Bonn Forceps""]",1,1,False
train,train12,5744,5510,5650,Hydrodissetion,,"[""Hydro. Cannula""]",607,5,"[""Hydro. Cannula""]",1,1,False
train,train12,6549,6316,6456,Phacoemulsification,,"[""Micromanipulator""]",176,5,"[""Micromanipulator""]",1,1,False
train,train12,8318,8084,8224,Irrigation/Aspiration,,"[""I/A Handpiece""]",636,5,"[""I/A Handpiece""]",1,1,False
train,train12,9929,9695,9835,Viscodilatation,,"[""Visc. Cannula""]",1052,5,"[""Visc. Cannula""]",1,1,False
train,train12,11767,11534,11674,Idle,,"[""Suture Needle""]",1453,4,"[""Suture Needle""]",1,1,False
train,train12,11831,11598,11738,Idle,,"[""Cap. Forceps""]",90,3,"[""Cap. Forceps""]",1,1,False
train,train12,13028,12794,12934,OVD Aspiration,,"[""I/A Handpiece""]",266,5,"[""I/A Handpiece""]",1,1,False
train,train12,14557,14323,14464,Wound Hydratation,,"[""I/A Handpiece""]",125,3,"[""I/A Handpiece""]",1,1,False
train,train12,15788,15555,15695,Wound Hydratation,,"[""Rycroft Cannula""]",152,5,"[""Rycroft Cannula""]",1,1,False
train,train12,17429,17195,17335,Suturing,,"[""Suture Needle""]",951,5,"[""Suture Needle""]",1,1,False
train,train12,17452,17218,17358,Suturing,,"[""Bonn Forceps""]",621,5,"[""Bonn Forceps""]",1,1,False
train,train12,18999,18765,18905,Suturing,,"[""Secondary Knife""]",2850,5,"[""Secondary Knife""]",1,1,False
train,train12,20201,19967,20108,Wound Hydratation,,"[""Rycroft Cannula""]",162,4,"[""Rycroft Cannula""]",1,1,False
train,train12,20358,20125,20265,Wound Hydratation,,"[""Suture Needle""]",107,3,"[""Suture Needle""]",1,1,False
train,train12,20960,20726,20866,Idle,,"[""Rycroft Cannula""]",93,4,"[""Rycroft Cannula""]",1,1,False
train,train13,532,298,438,Incision,,"[""Secondary Knife""]",91,5,"[""Secondary Knife""]",1,1,False
train,train13,549,316,456,Incision,,"[""Bonn Forceps""]",68,5,"[""Bonn Forceps""]",1,1,False
train,train13,2248,2014,2154,Hydrodissetion,,"[""Hydro. Cannula""]",155,3,"[""Hydro. Cannula""]",1,1,False
train,train13,2849,2615,2755,Nucleus Breaking,Stop and Chop,"[""Ph. Handpiece""]",488,3,"[""Ph. Handpiece""]",1,1,False
train,train13,5860,5627,5767,Irrigation/Aspiration,,"[""I/A Handpiece""]",810,5,"[""I/A Handpiece""]",1,1,False
train,train13,8364,8131,8271,Viscodilatation,,"[""Visc. Cannula""]",1220,3,"[""Visc. Cannula""]",1,1,False
train,train13,9234,9001,9141,Preparing Implant,,"[""Lens Injector""]",183,5,"[""Lens Injector""]",1,1,False
train,train13,10302,10069,10209,Implantation,,"[""I/A Handpiece""]",188,5,"[""I/A Handpiece""]",1,1,False
train,train13,10641,10407,10547,Implantation,,"[""Lens Injector""]",45,5,"[""Lens Injector""]",1,1,False
train,train13,10757,10524,10664,Idle,,"[""Micromanipulator""]",687,4,"[""Micromanipulator""]",1,1,False
train,train13,11248,11014,11154,OVD Aspiration,,"[""I/A Handpiece""]",77,5,"[""I/A Handpiece""]",1,1,False
train,train13,13430,13197,13337,Wound Hydratation,,"[""Rycroft Cannula""]",42,5,"[""Rycroft Cannula""]",1,1,False
train,train14,473,240,380,Incision,,"[""Bonn Forceps"", ""Secondary Knife""]",81,5,"[""Bonn Forceps"", ""Secondary Knife""]",2,2,True
train,train14,812,579,719,Incision,,"[""Primary Knife""]",139,3,"[""Primary Knife""]",1,1,False
train,train14,882,649,789,Incision,,"[""Bonn Forceps""]",48,5,"[""Bonn Forceps""]",1,1,False
train,train14,2348,2114,2254,Implant Ejection,,"[""Cap. Forceps""]",45,5,"[""Cap. Forceps""]",1,1,False
train,train14,2867,2634,2774,Viscodilatation,,"[""Visc. Cannula""]",47,4,"[""Visc. Cannula""]",1,1,False
train,train14,3807,3574,3714,Implant Ejection,,"[""Cap. Forceps""]",155,5,"[""Cap. Forceps""]",1,1,False
train,train14,5640,5407,5547,Capsulorhexis,,"[""Cap. Cystotome""]",233,3,"[""Cap. Cystotome""]",1,1,False
train,train14,7001,6767,6907,Capsulorhexis,,"[""Cap. Forceps""]",72,5,"[""Cap. Forceps""]",1,1,False
train,train14,8180,7947,8087,Nucleus Breaking,Stop and Chop,"[""Micromanipulator""]",524,4,"[""Micromanipulator""]",1,1,False
train,train14,9377,9144,9284,Idle,,"[""Hydro. Cannula""]",319,4,"[""Hydro. Cannula""]",1,1,False
train,train14,9447,9214,9354,Idle,,"[""Bonn Forceps""]",1457,3,"[""Bonn Forceps""]",1,1,False
train,train14,12582,12349,12489,Viscodilatation,,"[""Visc. Cannula""]",813,5,"[""Visc. Cannula""]",1,1,False
train,train14,13820,13587,13727,Preparing Implant,,"[""Lens Injector""]",2367,5,"[""Lens Injector""]",1,1,False
train,train14,13844,13610,13750,Preparing Implant,,"[""Suture Needle""]",435,3,"[""Suture Needle""]",1,1,False
train,train14,14182,13949,14089,Idle,,"[""Micromanipulator""]",621,3,"[""Micromanipulator""]",1,1,False
train,train14,14807,14573,14713,Implantation,,"[""Lens Injector""]",107,5,"[""Lens Injector""]",1,1,False
train,train14,14848,14614,14754,Implantation,,"[""Micromanipulator""]",111,3,"[""Micromanipulator""]",1,1,False
train,train14,15251,15017,15157,Positioning,,"[""Micromanipulator""]",54,5,"[""Micromanipulator""]",1,1,False
train,train14,16366,16132,16272,OVD Aspiration,,"[""Bonn Forceps""]",83,3,"[""Bonn Forceps""]",1,1,False
train,train14,16804,16570,16710,Wound Hydratation,,"[""Hydro. Cannula""]",1234,5,"[""Hydro. Cannula""]",1,1,False
train,train14,17557,17323,17463,Suturing,,"[""Needle Holder"", ""Suture Needle""]",350,5,"[""Suture Needle""]",2,1,True
train,train14,17568,17335,17475,Suturing,,"[""Bonn Forceps""]",130,5,"[""Bonn Forceps""]",1,1,False
train,train14,20213,19980,20120,Wound Hydratation,,"[""Rycroft Cannula""]",104,5,"[""Rycroft Cannula""]",1,1,False
train,train15,251,18,158,Incision,,"[""Bonn Forceps"", ""Secondary Knife""]",43,5,"[""Bonn Forceps"", ""Secondary Knife""]",2,2,True
train,train15,1611,1378,1518,Incision,,"[""Secondary Knife""]",212,3,"[""Secondary Knife""]",1,1,False
train,train15,2055,1822,1962,Incision,,"[""Primary Knife""]",352,5,"[""Primary Knife""]",1,1,False
